[SETTINGS]
#map_size(width)	map_size(height)
1300	200
# type :0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
#Obj_type	x	y	ani_set
[OBJECTS]
# GOOMBA
2	200	135	305
2	180	135	304

# BRICK 
# --- platform (hint: I created the list using Excel!) ----
1	0	150	2
1	16	150	2
1	32	150	2
1	48	150	2
1	64	150	2
1	80	150	2
1	96	150	2
1	112	150	2
1	128	150	2
1	144	150	2
1	160	150	2
1	176	150	2
1	192	150	2
1	208	150	2
1	224	150	2
1	240	150	2
1	256	150	2
1	272	150	2
1	288	150	2
1	304	150	2
1	320	150	2
1	336	150	2
1	352	150	2
1	368	150	2
1	384	150	2
1	400	150	2
1	416	150	2
1	432	150	2
1	448	150	2
1	448	150	2




