
# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
30	textures\tiles.png	255	128	192
40	textures\tiles4.png	4	193	170
50	textures\enemies-2.png	0	128	128
60	textures\enemy3.png	255	255	255
70	textures\map.png	156	252	240
80	textures\mario2.png	255	255	255
90	textures\mario3.png	255	255	255
100	textures\misc2.png	166	185	255
110	textures\enemies-3.png	0	130	130
120	textures\misc3.png	166	185	255
130	textures\enemies-4.png	0	255	255
140	textures\flower.png	255	255	255
150	textures\mairuadongua.png	0	128	128
160	textures\flower2.png	255	255	255
170	textures\mairuanguahoisinh.png	0	255	255
180	textures\title.png	255	255	255
190	textures\title2.png	237	28	36
200	textures\ruaden.png	255	255	255
210	textures\new_mario_left.png	67	145	190
220	textures\new_mario_right.png	67	145	190
230	textures\menu_game.png	255	219	161
240	textures\HUD.png	0	224	142
250	textures\special_item.png	0	183	239
260	textures\star_and_flower.png	0	183	239
270	textures\mario_transform_left.png	68	145	190
280	textures\mario_transform_right.png	68	145	190
290	textures\end_scene1.png	0	0	0
300	textures\enemies-2-red-goomba-die.png	0	128	128
310	textures\enemies-goomba-normal-die.png	3	26	110
320	textures\mario_fire_transform_black.png	255	255	255
330	textures\mario_fire_transform_blue.png	255	255	255
400	Scene\1-1\scene_1_1_bank.png		255	255	255
500	textures\New folder\jasonsophia.png	0	136	255


# id	left	top	right	bottom	texture_id
[SPRITES]
1001	6	0	20	16	0
1002	36	0	50	16	0
1003	67	0	81	15	0
1004	95	0	111	16	0
1005	125	0	140	16	0
1006	155	0	171	16	0
1007	187	0	199	15	0
1008	216	0	230	15	0
1009	247	0	259	15	0
1010	275	0	291	16	0
1011	306	0	321	16	0
1012	335	0	351	16	0
1013	367	0	379	15	0
1014	395	80	421	96	0
1015	426	0	440	16	0
2001	5	40	6	41	0
2002	35	40	51	56	0
2003	65	40	81	56	0
2004	96	40	110	56	0
2005	125	40	141	55	0
2006	155	40	171	56	0
2007	186	40	200	55	0
2008	216	40	230	55	0
2009	246	40	260	55	0
2010	275	40	291	56	0
2011	305	40	321	55	0
2012	36	40	50	56	0
2013	365	40	381	56	0
2014	395	40	411	56	0
2015	426	40	441	56	0
3001	5	80	21	96	0
3002	35	80	51	96	0
3003	66	80	80	95	0
3004	96	80	110	95	0
3005	125	80	141	95	0
3006	155	80	170	96	0
3007	185	80	200	96	0
3009	246	80	261	96	0
3010	276	80	291	96	0
3011	305	80	321	95	0
3012	336	80	350	95	0
3013	366	80	380	95	0
3014	395	80	411	96	0
3015	425	80	441	96	0
4001	7	124	19	137	0
4002	38	124	50	138	0
4003	66	120	80	135	0
4004	95	120	110	136	0
4005	126	120	139	136	0
4006	155	120	170	136	0
4007	186	120	200	136	0
4008	215	120	231	136	0
4009	246	120	260	136	0
