# id	file_path	transparent_color_r	g	b
[TEXTURES]
20	textures\misc.png	176	224	248
500	textures\BM\20000.png	0	136	255
600	textures\BM\20000(1).png	0	136	255
400	textures\BM\map4_bank.png	255	255	255
700	textures\BM\map3_bank.png	255	255	255
800	textures\BM\40500.jpg	0	0	0
60	textures\BM\40000.png	120	120	120
300	textures\BM\30000.png	0	136	255

#[SETTING]
#Map height
#736
[MAP]
#400	57	7	62	56	399	textures\BM\map_4.txt
700	23	7	23	47	161	textures\BM\map_3.txt
# id	left	top	right	bottom	texture_id
[SPRITES]


#CONTRASTBULLET
40500	0	8	16	24	800
40501	48	8	64	24	800
40502	104	8	120	24	800
40503	144	8	168	32	800
40504	192	8	224	24	800
40505	248	8	272	24	800
40506	288	0	321	33	800
40507	352	0	368	32	800

40510	0	56	24	81	800
40511	56	56	64	80	800
40512	96	56	120	80	800
40513	144	56	176	80	800
40514	192	56	224	80	800
40515	239	47	273	81	800
40516	304	56	320	70	800
40517	336	53	369	81	800

40520	0	111	17	129	800
40521	46	113	70	120	800
40522	96	96	120	128	800
40523	144	96	176	129	800
40524	198	96	224	129	800
40525	248	104	272	128	800
40526	296	104	320	128	800
40527	344	104	372	128	800

40530	0	159	17	175	800
40531	47	144	81	175	800
40532	95	143	129	175	800
40533	143	144	177	175	800
40534	191	159	225	175	800
40535	248	159	273	175	800
40536	287	144	321	175	800
40537	335	143	369	175	800

#BULLET
40000	5	0	21	33	60
40001	55	9	71	25	60
40002	100	8	125	25	60
40003	150	9	176	25	60
40004	204	8	221	25	60
40005	258	12	268	22	60
40006	308	13	318	21	60
40007	358	14	367	20	60

41000	5	59	21	75	60
41001	58	62	67	71	60
41002	105	59	121	75	60
41003	150	58	176	76	60
41004	200	58	225	75	60
41005	251	58	275	75	60
41006	308	58	317	76	60
41007	354	57	372	77	60

42000	0	108	25	125	60
42001	50	108	75	125	60
42002	105	109	121	125	60
42003	155	109	171	125	60
42004	205	109	221	125	60
42005	255	109	271	125	60
42006	300	113	326	121	60
42007	359	113	367	121	60

43000	3	158	22	175	60
43001	54	158	71	176	60
43002	108	162	118	172	60
43003	159	159	167	170	60
43004	204	158	222	176	60
43005	254	158	272	176	60
43006	304	158	322	176	60
43007	360	164	366	170	60
#ko co hinh
43008	320	158	338	176	60

#TURRET_RIGHT
tọa độ bên phải
69300	240	0	261	25	500
tọa độ bên trái
69301	124	0	146	26	500
69200	0	8	26	17	500
#TURRET_LEFT
69201	280	8	306	17	600

#BODY
69100	129	18	137	24	500

#WHEEL ( LEN PHAI NAM TRAI )
69000	1	18	9	26	500
69001	41	17	49	25	500
69002	57	17	65	25	500
69003	161	20	169	28	500

#TANK
60000	0	8	26	26	500
60001	40	8	66	25	500
60002	80	8	106	25	500
60003	120	8	146	26	500
60004	160	6	186	28	500
60005	201	8	225	26	500
60006	240	0	266	34	500
60007	278	8	308	26	500
60008	318	8	348	26	500
60009	360	0	386	34	500

70000	360	8	385	26	600
70001	320	8	346	25	600
70002	280	8	306	25	600
70003	240	8	246	26	600

#BRICK
20001	408	225	424	241	20

30201	40	36	58	46	300
30202	60	31	78	46	300
30203	80	28	98	46	300
30204	100	31	118	46	300
30205	128	31	146	46	300
30206	148	28	166	46	300
30207	168	31	186	46	300
30208	188	36	206	46	300

31201	40	276	58	292	300
31202	60	274	78	292	300
31203	80	276	98	292	300
31204	100	274	118	292	300
31205	128	274	146	292	300
31206	148	276	166	292	300
31207	168	274	186	292	300
31208	188	276	206	292	300


31306	128	296	146	312	300
31307	148	295	166	312	300
35006	128	1150	146	1166	300
35007	148	1149	166	1166	300
35010	210	1158	218	1166	300


31601	54	386	72	404	300
31602	74	386	92	404	300
31603	94	386	112	404	300
31604	114	386	132	404	300
31605	134	386	152	404	300
31606	154	386	172	404	300
31607	174	386	192	404	300


32801	42	650	58	668	300
32802	60	653	78	668	300
32803	81	651	99	668	300
32804	102	652	118	668	300
32805	128	652	144	668	300
32806	147	651	165	668	300
32807	168	653	186	668	300
32808	188	650	204	668	300


33103	128	717	145	735	300
33104	146	717	163	735	300


33201	58	737	76	755	300
33202	79	737	97	755	300
33203	100	737	118	755	300
33204	128	737	146	755	300
33205	149	737	167	755	300
33206	170	737	188	755	300


36401	59	1495	68	1504	300
36402	71	1486	93	1504	300
36403	96	1489	118	1504	300
36404	128	1489	150	1504	300
36405	153	1486	175	1504	300
36406	178	1495	187	1504	300

#ENEMY
35401	42	1265	59	1275	300
35402	60	1265	78	1275	300
35407	168	1265	186	1275	300
35408	187	1265	204	1275	300



###########################################						
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#BALL_CARRY_BOOM
40005	40005	100
#Explosion
4300	43004	50	43008	15	43005	100	43008	15	43006	100	43008	15

#neoworn trái
35402	35402	100	35401	100
neoworn phải
35407	35407	100	35408	100
#đạn interrup
36406	36406	100
#đạn GX680S và GX680
35010	35010	100

#PHU TUNG CHO TANK

#Banh trc
#qua pha
33000	69000	45	69001	45	69002	45	69003	45
#qua trai
33001	69000	45	69003	45	69002	45	69001	45
#idle
33002	69000	100


#Banh sau
#qua phai
33100	69001	45	69002	45	69003	45	69000	45
#qua trai
33101	69001	45	69000	45	69003	30	69002	45
#idle
33102	69001	100

#TURRET (RIGHT to LEFT IDLE)
33200	69200	100
33201	69201	100

# ==== MARIO =========
Body
400	69100	100


# ==== BRICK =========
601	20001	100

#ENEMY
#cục tròn treo trái
3001	33201	100	33202	100	33203	100	33202	100
#cục tròn treo phải
3002	33206	100	33205	100	33204	100	33205	100
# kéo trái
3003	30203	50	30202	50	30201	50	30204	50
# kéo phải
3004	30206	50	30207	50	30208	50	30205	50
#robot đứng im
3005	32806	100
#robot đi trái
3006	32803	100	32801	100
#robot đi phải
3007	32806	100	32808	100
#robot nhả đạn
3008	32806	100	32807	100
#cục nấm đi màu bạc
3009	31306	100	31307	100
#cục nấm đi màu hồng
3010	35006	100	35007	100
#mắt
3011	31206	100	31208	100	31207	100	31205	100
#điện thoại
3012	33103	200	33104	200
#cục treo màu hồng đứng im
3013	36405	100
#cục treo màu hồng mở
3014	36404	100
#con bọ
3015	31606	50	31607	50	31605	50	31604	50	31603	50	31602	50	31601	50
#MISC
#BULLET
406	42006	100
407	40521	100
###########################################
#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
#BALL_CARRY_BOOM
40005	40005
# Body
1	400
# BRICK 
2	601
#Banh xe truoc
304	33000	33001	33002
#Banh xe sau
305	33100	33101	33102
#Turret
306	33200	33201
#LASERGUARD
3012	3012	100
#BALLCARRY
3006	3005	3006	3007	3008
#BALLL BOT
3001	3001	3002
#DRAP
3011	3011
#GX680
3009	3009
#GX680S
3010	3010
#STUKA
3015	3015
#EYELET
3003	3003	3004
#INTERRUPT
3013	3013	3014
#neoworn
35402	35402	35407
#đạn interrup
36406	36406
#đạn GX680S và GX680
35010	35010
#Explosion
4300	4300
###########################################
#MISC
#BULLET
406	406	407
###########################################

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type :0 = Mario , 1 = Brick, 3=LaseGuard, 4= BallCarry, 5=BallBot, 6=Drap,
# 7=GX680, 8=GX680S, 9 = Stuka, 10 = Eyelet, 11=interrup, 12=interrup_bullet, 13 = RedNeoWorm
#15=Boom

15	10000	10000	40005
15	10000	10000	40005
15	10000	10000	40005
15	10000	10000	40005
15	10000	10000	40005

2	10000	10000	406
2	10000	10000	406
2	10000	10000	406
2	10000	10000	406
2	10000	10000	406


12	99999	99999	36406
12	99999	99999	36406
12	99999	99999	36406
12	99999	99999	36406
12	99999	99999	36406
12	99999	99999	36406
12	99999	99999	36406


13	99999	99999	35402
13	99999	99999	35402
13	99999	99999	35402
13	99999	99999	35402
13	99999	99999	35402
13	99999	99999	35402
13	99999	99999	35402
13	99999	99999	35402

14	0	0	4300	295
14	0	0	4300	295
14	0	0	4300	295
14	0	0	4300	295
14	0	0	4300	295
14	0	0	4300	295

# TANK
0	256	100	1
100	180	2296	304	1
100	180	2296	305	0
101	180	2296	1
102	180	2296	306


###########################################

[QUADTREE]
Quadtree\Quadtree1-1.txt
# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
#50	300	98	0	316	150	1

