# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110

# id	left	top	right	bottom	texture_id
[SPRITES]
1001	6	0	26	14
1002	36	0	85	16
1003	67	0	146	15
1004	95	0	206	16
1005	125	0	265	16
1006	155	0	326	16
1007	187	0	199	15
1008	216	0	230	15
1009	247	0	259	15
1010	275	0	291	16
1011	306	0	321	16
1012	335	0	351	16
1013	367	0	379	15
1014	397	0	410	1
1015	426	0	440	16
2001	5	40	6	41
2002	35	40	51	56
2003	65	40	81	56
2004	96	40	110	56
2005	125	40	141	55
2006	155	40	171	56
2007	186	40	200	55
2008	216	40	230	55
2009	246	40	260	55
2010	275	40	291	56
2011	305	40	321	55
2012	36	40	50	56
2013	65	40	81	56
2014	395	40	411	56
2015	426	40	441	56
3001	5	80	21	96
3002	35	80	51	96
3003	66	80	80	95
3004	96	80	110	95
3005	125	80	141	95
3006	155	80	170	96
3007	185	80	200	96
3008	246	80	261	96
3009	276	80	291	96
3010	305	80	321	95
3011	336	80	350	95
3012	366	80	380	95
3013	395	80	411	96
3014	425	80	441	96
4001	7	124	19	137
4002	38	124	50	138
4003	66	120	80	135
4004	95	120	110	136
4005	126	120	139	136
4006	155	120	170	136
4007	186	120	200	136
4008	215	120	231	136
4009	246	120	260	136
4010	276	120	291	136
4011	307	120	320	136
4012	336	120	351	136
4013	366	120	380	135
4014	396	124	408	138
4015	427	124	439	137
5001	5	154	21	182
5002	35	155	54	181
5003	65	154	84	181
5004	93	154	112	181
5005	125	155	141	181
5006	155	154	171	181
5007	186	154	200	181
5008	215	154	231	181
5009	246	154	260	181
5010	275	154	291	181
5011	305	155	321	181
5012	334	154	353	181
5013	362	154	381	181
5014	392	155	411	181
5015	425	154	441	182
6001	5p	195	16	221
6002	33	195	52	221
6003	64	194	82	221
6004	93	195	112	221
6005	194	19	221	45
6006	153	94	172	121
6007	184	194	202	221
6008	215	194	231	221
6009	244	194	262	221
6010	274	194	293	221
6011	304	194	323	221
6012	334	195	353	221
6013	364	194	382	221
6014	394	195	413	221
6015	425	195	441	221
7001	6	239	20	257
7002	36	234	50	261
7003	66	234	80	261
7004	96	234	110	261
7005	125	235	141	261
7006	155	234	170	261
7007	186	234	200	261
7008	215	234	231	261
7009	246	234	260	261
7010	276	234	291	261
7011	305	235	321	261
7012	336	234	350	261
7013	366	234	380	261
7014	396	234	410	261
7015	426	239	440	257
8001	2	274	23	301
8002	35	275	51	301
8003	66	277	80	299
8004	95	275	111	300
8005	122	274	143	301
8006	155	274	171	301
8007	185	274	201	301
8008	215	274	231	301
8009	245	274	261	301
8010	275	274	291	301
8011	303	274	324	301
8012	335	275	351	300
8013	366	277	380	299
8014	395	275	411	301
8015	423	274	444	301
9001	3	315	22	341
9002	33	314	52	341
9003	65	314	81	341
9004	96	314	110	341
9005	125	315	141	341
9006	155	314	170	341
9007	214	317	232	338
9008	276	314	291	341
9009	305	315	321	341
9010	336	314	350	341
9011	365	314	381	341
9012	394	314	413	341
9013	424	315	443	341
10001	3	358	22	378
10002	32	358	53	378
10003	63	358	83	377
10004	93	357	113	378
10005	125	360	141	383
10006	155	358	171	382
10007	185	354	201	381
10008	245	354	261	381
10009	275	358	291	382
10010	305	360	321	383
10011	333	357	353	378
10012	363	358	383	377
10013	393	358	414	378
10014	424	358	443	378
11001	5	394	21	422
11002	35	395	54	421
11003	65	394	84	421
11004	93	394	112	421
11005	125	395	141	421
11006	155	394	171	421
11007	186	394	200	421
11008	215	394	231	421
11009	246	394	260	421
11010	275	394	291	421
11011	305	395	321	421
11012	334	394	353	421
11013	362	394	381	421
11014	392	395	411	421
11015	425	394	441	422
12001	5	435	21	461
12002	33	435	52	461
12003	64	434	82	461
12004	93	435	112	461
12005	123	434	142	461
12006	153	434	172	461
12007	184	434	202	461
12008	215	434	231	461
12009	244	434	262	461
12010	274	434	293	461
12011	304	434	323	461
12012	334	435	353	461
12013	364	434	382	461
12014	394	435	413	461
12015	425	435	441	461
13001	6	479	20	497
13002	36	474	50	501
13003	66	474	80	501
13004	96	474	110	501
13005	125	475	141	501
13006	155	474	170	501
13007	186	474	200	501
13008	215	474	231	501
13009	246	474	260	501
13010	276	474	291	501
13011	305	475	321	501
13012	336	474	350	501
13013	366	474	380	501
13014	396	474	410	501
13015	426	479	440	505
# big mario fire
#kick
14001 	1	514	24	543	0
#run
14002 	34	514	52	542	0
#down
14003	65	516	80	540	0
14004	91	511	113	541	0
14005 	122	513	144	541	0	
14006	155	514	173	543	0
14007	185	513	202	542	0
14008	214	514	232	542	0
14009	245	513	262	542	0	
14010	275	513	292	542	0	
14011	303	514	325	542	0
14012	334	514	352	541	0
14013	366	516	381	538	0
14014	395 	514	412	542	0
14015	422	514	444	541	0
15001	2	555	22	581	0
15002	33	554	52	581	0
15003	65	554	81	581	0
15004	96	554	110	581	0
15005	125	555	141	581	0
15006	155	554	170	581	0
15007	180	553	206	582	0
15008	214	557	232	578	0
15009	240	553	266	582	0
15010	276	554	291	581	0	
15011	305	555	321	581	0
15012	336	554	350	581	0
15013	365	554	381	581	0
15014	394	554	413	581	0
15015	424	555	443	581	0
16001	3	598	22	618	0
16002	32	598	53	618	0
16003	63	598	83	617	0
16004	93	597	113	618	0
16005	125	600	141	623	0
16006	155	598	171	622	0	
16007	185	594	201	621	0
16008	
16009	245	594	261	621	0
16010	275	598	291	622	0
16011	305	600	321	623	0	
16012	333	597	353	618	0
16013	363	598	383	617	0
16014	393	598	414	618	0
16015	424	598	443	618	0
17001	5 	633	21	663	0
17002	32	634	53	661	0
17003	61	634	84	662	0
17004	91	634	115	662	0
17005	122	634	143	661	0
17006	152	634	174	662	0
17007	182	634	203	662	0
17008	215	633	231	662	0
17009	243	634	264	662	0
17010	272	634	294	662	0
17011	303	634	324	661	0
17012	331	634	355	662	0
17013	362	634	385	662	0
17014	393	634	414	661	0
17015	425	633	441	663	0
18001	5	674	21	691	0
18002	32	678	53	697	0
18003	61	674	85	702	0
18004	91	674	115	701	0
18005	121	674	144	702	0
18006	151	674	174	702	0
18007	181	674	205	702	0
18008	215	674	231	702	0
18009	241	674	265	702	0
18010	272	674	295	702	0	
18011	302	674	325	702	0
18012	331	674	355	701	0
18013	361	674	385	702	0
18014	393	678	414	697	0
18015	425	674	441	701	0
19001	2	719	24	737	0
19002	32	719	54	737	0
19003	61	714	85	742	0
19004	91	714	115	741	0
19005	122	714	143	741	0
19006	152	714	174	742	0
19007	182	714	203	742	0
19008	215	713	231	742	0
19009	243	714	264	742	0
19010	272	714	294	742	0
19011	303	714	324	741	0
19012	331	714	355	741	0
19013	361	714	385	742	0
19014	392	719	414	737	0
19015	422 	719	444	737	0
20001	2 	754	24	782	0
20002	31	754	54	781	0	
20003	61	754	85	781	0
20004	95	754	112	782	0
20005	122	753	143	782	0
20006	155	754	171	782	0
20007	185	753	201	782	0
20008	215	754	231	782	0
20009	245	753	261	782	0
20010	275	754	291	782	0
20011	303	753	324	782	0
20012	335	754	351	782	0
20013	361	754	385	781	0
20014	392	754	415	781	0
20015	422	754	444	782	0
21001	0	794	25	821	0
21002	33	794	52	822	0
21003	61	794	84	822	0
21004	92	794	113	822	0
21005	122	794	143	821	0
21006	152	794	174	822	0
21007	182	794	204	822	0
21008	214	797	232	818	0
21009	242	794	264	822	0
21010	272	794	294	822	0
21011	303	794	324	821	0
21012	333	794	354	822	0
21013	362	794	385	822	0
21014	394	794	413	822	0
21015	421	794	446	821	0
22001	2	838	23	858	0
22002	32	838	55	858	0
22003	63	837	83	858	0
22004	93	837	113	859	0
22005	125	840	141	863	0
22006	155	838	171	862	0
22007	182	834	203	862	0
22008	
22009	243	834	265	862	0
22010	275	838	291	862	0
22011	305	840	321	863	0
22012	333	837	353	859	0
22013	363	837	383	859	0
22014	392	838	414	858	0
22015	423	838	444	858	0
23001
23002
23003
23004	92	874	114	902	0
23005	122	874	144	902	0
23006	152	874	174	902	0
23007	182	874	204	902	0
23008	
23009	242	874	264	902	0
23010	272	874	294	902	0
23011	302	874	324	902	0
23012	332	874	354	902	0
23013
23014
23015
24001	1 	916	25	939	0
24002	32	916	54	939	0
24003	62	916	84	939	0
24004	93	916	113	939	0
24005	123	913	142	942	0
24006	153	913	173	942	0
24007	183	916	203	940	0
24008	215	916	231	939	0
24009	243	916	263	940	0
24010	273	913	293	942	0
24011	304	913	323	942	0
24012	333	916	353	939	0
24013	362	916	382	939	0
24014	392	916	414	939	0
24015	421	916	445	939	0
25001	1	957	25	979	0
25002	31	957	55	979	0
25003	61	956	85	979	0
25004	
25005	123	956	143	979	0
25006	152	957	174	978	0
25007	185	954	201	981	0
25008	215	952	231	983	0
25009	245	954	261	981	0
25010	272	957	294	978	0
25011	303	956	323	979	0
25012	
25013	361	956	385	979	0
25014	391	957	415	979	0
25015	421	957	445	979	0
26001	5 	994	21	1010	0
26002	35	992	51	1017	0
26003	62	992	83	1023	0
26004	95	992	111	1023	0
26005	124	993	141	1023	0
26006	155	992	171	1023	0
26007	185	992	200	1023	0
26008	215	992	231	1023	0
26009	246	992	261	1023	0
26010	275	992	291	1023	0
26011	305	993	322	1023	0
26012	335	992	351	1023	0
26013	363	992	384	1023	0
26014	395	992	411	1017	0
26015	425	994	441	1018	0
# FROG_MARIO 
** LEFT-UPSIDE DOWN
27001	3	1026	23	1046
27002	33	1024	53	1048
27003	31	1056	55	1076
27004	3	1056	23	1076
** BACK STANDING MARIO
27005	65	1034	81	1061
27006	95	1035	16	25
27007	125	1035	141	1061
